"","ID","week","pseudo_abs_method","downscaling","downscaling_model","input_suffix","output_suffix"
"1","LA2",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"2","LA4",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"3","LA3",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"4","LA7",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"5","LA6",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"6","LA8",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"7","LA14",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"8","LA12",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"9","LA15",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"10","LA13",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"11","LA1",2065,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"12","LA2",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"13","LA4",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"14","LA3",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"15","LA7",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"16","LA6",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"17","LA8",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"18","LA11",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"19","LA14",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"20","LA12",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"21","LA15",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"22","LA13",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"23","LA1",2066,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"24","LA2",2067,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"25","LA4",2067,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
"26","LA3",2067,"random_path_custom_distr","NULL","NULL","_newPathWithCV","_newPathWithCV"
